angry0,angry1,angry2,angry3,box0,box1,box2,box3,disgust0,disgust1,disgust2,disgust3,fear0,fear1,fear2,fear3,happy0,happy1,happy2,happy3,neutral0,neutral1,neutral2,neutral3,sad0,sad1,sad2,sad3,surprise0,surprise1,surprise2,surprise3
0.05,0.01,,,"[898, 250, 117, 145]","[267, 297, 90, 111]",,,0.0,0.0,,,0.11,0.01,,,0.02,0.1,,,0.7,0.82,,,0.12,0.05,,,0.0,0.0,,
0.05,0.01,,,"[898, 250, 116, 144]","[267, 296, 90, 112]",,,0.0,0.0,,,0.08,0.01,,,0.02,0.16,,,0.76,0.79,,,0.09,0.03,,,0.0,0.0,,
0.04,0.01,,,"[898, 249, 117, 145]","[267, 296, 91, 113]",,,0.0,0.0,,,0.08,0.01,,,0.02,0.24,,,0.76,0.69,,,0.09,0.05,,,0.0,0.0,,
0.03,0.01,,,"[898, 248, 117, 145]","[268, 298, 88, 111]",,,0.0,0.0,,,0.06,0.01,,,0.02,0.27,,,0.82,0.68,,,0.07,0.03,,,0.0,0.0,,
0.05,0.01,,,"[899, 249, 116, 145]","[267, 299, 89, 109]",,,0.0,0.0,,,0.1,0.01,,,0.03,0.27,,,0.71,0.69,,,0.09,0.03,,,0.0,0.0,,
0.05,0.01,0.14,,"[899, 249, 116, 145]","[267, 299, 89, 109]","[1231, 123, 11, 14]",,0.0,0.0,0.0,,0.1,0.01,0.06,,0.03,0.27,0.07,,0.71,0.69,0.17,,0.09,0.03,0.55,,0.0,0.0,0.01,
0.05,0.01,0.14,,"[899, 249, 116, 145]","[267, 299, 89, 109]","[1231, 123, 11, 14]",,0.0,0.0,0.0,,0.1,0.01,0.06,,0.03,0.27,0.07,,0.72,0.69,0.17,,0.09,0.03,0.55,,0.0,0.0,0.01,
0.05,0.01,0.14,,"[899, 249, 116, 145]","[267, 298, 89, 110]","[1231, 123, 11, 14]",,0.0,0.0,0.0,,0.1,0.01,0.06,,0.03,0.34,0.07,,0.71,0.61,0.17,,0.09,0.03,0.55,,0.0,0.0,0.01,
0.04,0.01,0.14,,"[905, 250, 116, 146]","[266, 297, 90, 112]","[1231, 123, 11, 14]",,0.0,0.0,0.0,,0.07,0.01,0.06,,0.04,0.38,0.07,,0.75,0.58,0.17,,0.1,0.03,0.55,,0.0,0.0,0.01,
0.08,0.01,0.14,,"[904, 248, 117, 150]","[267, 298, 90, 111]","[1231, 123, 11, 14]",,0.0,0.0,0.0,,0.11,0.01,0.06,,0.04,0.5,0.07,,0.61,0.45,0.17,,0.16,0.03,0.55,,0.01,0.0,0.01,
0.09,0.01,0.14,,"[908, 249, 114, 149]","[267, 298, 90, 111]","[1231, 123, 11, 14]",,0.0,0.0,0.0,,0.07,0.01,0.06,,0.07,0.53,0.07,,0.64,0.43,0.17,,0.13,0.03,0.55,,0.0,0.0,0.01,
0.09,0.01,0.09,,"[907, 250, 114, 148]","[267, 298, 89, 111]","[1231, 123, 11, 15]",,0.0,0.0,0.0,,0.07,0.01,0.05,,0.04,0.51,0.13,,0.63,0.45,0.15,,0.17,0.03,0.58,,0.0,0.0,0.01,
0.04,0.01,0.09,,"[909, 254, 117, 151]","[265, 297, 91, 112]","[1231, 123, 11, 15]",,0.0,0.0,0.0,,0.03,0.01,0.05,,0.03,0.41,0.13,,0.86,0.54,0.15,,0.04,0.03,0.58,,0.0,0.0,0.01,
0.08,0.0,0.09,,"[910, 257, 116, 150]","[265, 297, 91, 111]","[1231, 123, 11, 15]",,0.0,0.0,0.0,,0.08,0.01,0.05,,0.02,0.47,0.13,,0.76,0.5,0.15,,0.06,0.02,0.58,,0.0,0.0,0.01,
0.09,0.0,0.09,,"[910, 256, 115, 151]","[265, 297, 91, 111]","[1231, 123, 11, 15]",,0.0,0.0,0.0,,0.06,0.01,0.05,,0.02,0.47,0.13,,0.76,0.5,0.15,,0.06,0.02,0.58,,0.0,0.0,0.01,
0.1,0.0,0.09,,"[911, 257, 117, 152]","[266, 297, 89, 111]","[1231, 123, 11, 15]",,0.0,0.0,0.0,,0.07,0.01,0.05,,0.0,0.43,0.13,,0.74,0.54,0.15,,0.08,0.02,0.58,,0.0,0.0,0.01,
0.18,0.0,0.09,,"[910, 257, 118, 153]","[266, 296, 90, 113]","[1231, 123, 11, 15]",,0.0,0.0,0.0,,0.05,0.01,0.05,,0.0,0.68,0.13,,0.7,0.29,0.15,,0.06,0.02,0.58,,0.0,0.0,0.01,
0.19,0.01,0.09,,"[906, 258, 120, 152]","[266, 297, 90, 112]","[1231, 123, 11, 15]",,0.0,0.0,0.0,,0.06,0.01,0.05,,0.01,0.5,0.13,,0.69,0.45,0.15,,0.05,0.03,0.58,,0.01,0.0,0.01,
0.19,0.01,0.09,,"[906, 258, 120, 152]","[266, 296, 90, 113]","[1231, 123, 11, 15]",,0.0,0.0,0.0,,0.06,0.01,0.05,,0.01,0.68,0.13,,0.69,0.28,0.15,,0.05,0.02,0.58,,0.01,0.0,0.01,
0.04,0.01,0.09,,"[901, 257, 118, 148]","[266, 296, 90, 113]","[1231, 123, 11, 15]",,0.0,0.0,0.0,,0.06,0.01,0.05,,0.01,0.69,0.13,,0.83,0.27,0.15,,0.06,0.02,0.58,,0.0,0.0,0.01,
0.04,0.01,0.09,,"[901, 257, 118, 148]","[266, 296, 90, 113]","[1231, 123, 11, 15]",,0.0,0.0,0.0,,0.06,0.01,0.05,,0.01,0.71,0.12,,0.82,0.26,0.13,,0.07,0.02,0.59,,0.0,0.0,0.01,
0.04,0.0,0.09,,"[901, 257, 118, 148]","[267, 297, 89, 110]","[1231, 123, 11, 15]",,0.0,0.0,0.0,,0.06,0.0,0.05,,0.01,0.76,0.12,,0.82,0.23,0.13,,0.07,0.01,0.59,,0.0,0.0,0.01,
0.06,0.0,0.09,,"[898, 256, 120, 147]","[267, 296, 88, 112]","[1231, 123, 11, 15]",,0.0,0.0,0.0,,0.06,0.0,0.05,,0.01,0.89,0.12,,0.76,0.1,0.13,,0.11,0.01,0.59,,0.0,0.0,0.01,
0.1,0.0,0.1,,"[893, 252, 120, 149]","[267, 296, 89, 111]","[1231, 123, 11, 15]",,0.0,0.0,0.0,,0.03,0.0,0.05,,0.01,0.89,0.12,,0.72,0.1,0.13,,0.14,0.0,0.59,,0.0,0.0,0.02,
0.1,0.0,0.1,,"[893, 252, 120, 149]","[266, 296, 90, 112]","[1231, 123, 11, 15]",,0.0,0.0,0.0,,0.03,0.0,0.05,,0.01,0.88,0.12,,0.72,0.11,0.13,,0.14,0.01,0.59,,0.0,0.0,0.02,
0.12,0.0,0.03,,"[890, 256, 117, 145]","[266, 297, 89, 110]","[1231, 124, 10, 14]",,0.0,0.0,0.0,,0.04,0.0,0.05,,0.01,0.9,0.04,,0.75,0.08,0.16,,0.07,0.01,0.69,,0.0,0.0,0.02,
0.09,0.0,0.03,,"[890, 256, 117, 144]","[266, 297, 89, 110]","[1231, 124, 10, 14]",,0.0,0.0,0.0,,0.03,0.0,0.05,,0.01,0.91,0.04,,0.79,0.07,0.16,,0.07,0.01,0.69,,0.0,0.0,0.02,
0.11,0.0,0.03,,"[890, 256, 117, 145]","[266, 297, 89, 110]","[1231, 124, 10, 14]",,0.0,0.0,0.0,,0.04,0.0,0.05,,0.01,0.92,0.04,,0.76,0.07,0.16,,0.07,0.01,0.69,,0.0,0.0,0.02,
0.11,0.0,0.03,,"[890, 256, 117, 145]","[266, 297, 89, 110]","[1231, 124, 10, 14]",,0.0,0.0,0.0,,0.04,0.0,0.05,,0.01,0.92,0.04,,0.76,0.07,0.16,,0.07,0.01,0.69,,0.0,0.0,0.02,
0.04,0.0,0.03,,"[887, 255, 116, 145]","[266, 297, 89, 110]","[1231, 124, 10, 14]",,0.0,0.0,0.0,,0.02,0.0,0.05,,0.0,0.92,0.04,,0.89,0.07,0.16,,0.05,0.01,0.69,,0.0,0.0,0.02,
0.05,0.0,0.03,,"[887, 255, 118, 146]","[268, 297, 88, 109]","[1231, 124, 10, 14]",,0.0,0.0,0.0,,0.03,0.0,0.05,,0.01,0.93,0.04,,0.85,0.07,0.16,,0.07,0.0,0.69,,0.0,0.0,0.02,
0.13,0.0,0.03,,"[886, 254, 120, 151]","[267, 295, 90, 112]","[1231, 124, 10, 14]",,0.0,0.0,0.0,,0.11,0.0,0.05,,0.02,0.92,0.04,,0.6,0.07,0.16,,0.14,0.0,0.69,,0.0,0.0,0.02,
0.15,0.0,0.03,,"[887, 254, 120, 151]","[268, 297, 88, 109]","[1231, 124, 10, 14]",,0.0,0.0,0.0,,0.13,0.0,0.05,,0.02,0.92,0.04,,0.54,0.07,0.16,,0.16,0.0,0.69,,0.0,0.0,0.02,
0.16,0.0,0.03,,"[887, 254, 120, 151]","[267, 297, 88, 108]","[1231, 124, 10, 14]",,0.0,0.0,0.0,,0.14,0.0,0.05,,0.02,0.9,0.04,,0.51,0.09,0.17,,0.17,0.0,0.69,,0.0,0.0,0.02,
0.14,0.0,0.03,,"[887, 254, 122, 152]","[268, 296, 88, 110]","[1231, 124, 10, 14]",,0.0,0.0,0.0,,0.18,0.0,0.05,,0.02,0.86,0.04,,0.47,0.13,0.17,,0.19,0.0,0.69,,0.0,0.0,0.02,
0.17,0.0,0.03,,"[888, 253, 120, 152]","[268, 296, 88, 109]","[1231, 124, 10, 14]",,0.0,0.0,0.0,,0.11,0.0,0.05,,0.02,0.84,0.04,,0.48,0.15,0.17,,0.21,0.0,0.69,,0.0,0.0,0.02,
0.17,0.0,0.03,,"[888, 253, 120, 152]","[267, 296, 89, 110]","[1231, 124, 10, 14]",,0.0,0.0,0.0,,0.11,0.0,0.05,,0.02,0.85,0.04,,0.48,0.14,0.17,,0.21,0.0,0.69,,0.0,0.0,0.02,
0.09,0.0,0.03,,"[888, 251, 122, 152]","[267, 298, 87, 108]","[1231, 124, 10, 14]",,0.0,0.0,0.0,,0.08,0.0,0.05,,0.01,0.78,0.04,,0.56,0.21,0.16,,0.26,0.01,0.69,,0.0,0.0,0.02,
0.08,0.0,0.07,,"[889, 251, 122, 150]","[267, 298, 87, 107]","[1231, 124, 11, 14]",,0.0,0.0,0.0,,0.04,0.0,0.07,,0.01,0.69,0.05,,0.71,0.3,0.22,,0.16,0.01,0.58,,0.0,0.0,0.01,
0.11,0.0,0.07,,"[890, 250, 120, 152]","[267, 297, 87, 109]","[1231, 124, 11, 14]",,0.0,0.0,0.0,,0.05,0.0,0.07,,0.01,0.74,0.05,,0.64,0.25,0.22,,0.2,0.01,0.58,,0.0,0.0,0.01,
0.12,0.0,0.07,,"[891, 249, 120, 153]","[267, 298, 87, 107]","[1231, 124, 11, 14]",,0.0,0.0,0.0,,0.08,0.0,0.07,,0.01,0.68,0.05,,0.61,0.31,0.22,,0.18,0.01,0.58,,0.0,0.0,0.01,
0.1,0.0,0.07,,"[890, 251, 119, 148]","[268, 297, 88, 110]","[1231, 124, 11, 14]",,0.0,0.0,0.0,,0.03,0.0,0.07,,0.0,0.88,0.05,,0.67,0.11,0.22,,0.2,0.01,0.58,,0.0,0.0,0.01,
0.1,0.0,0.07,,"[890, 251, 119, 148]","[268, 297, 88, 110]","[1231, 124, 11, 14]",,0.0,0.0,0.0,,0.03,0.0,0.07,,0.0,0.89,0.05,,0.67,0.1,0.22,,0.19,0.01,0.58,,0.0,0.0,0.01,
0.1,0.0,0.07,,"[890, 251, 119, 148]","[268, 297, 88, 110]","[1231, 124, 11, 14]",,0.0,0.0,0.0,,0.03,0.0,0.07,,0.0,0.89,0.05,,0.67,0.1,0.22,,0.19,0.01,0.58,,0.0,0.0,0.01,
0.1,0.0,0.07,,"[890, 251, 119, 148]","[268, 297, 88, 110]","[1231, 124, 11, 14]",,0.0,0.0,0.0,,0.03,0.0,0.07,,0.0,0.89,0.05,,0.67,0.1,0.22,,0.19,0.01,0.58,,0.0,0.0,0.01,
0.1,0.0,0.08,,"[890, 251, 119, 148]","[268, 297, 88, 110]","[1231, 124, 11, 14]",,0.0,0.0,0.0,,0.03,0.0,0.06,,0.0,0.89,0.05,,0.68,0.1,0.22,,0.19,0.01,0.57,,0.0,0.0,0.01,
0.12,0.0,0.08,,"[893, 253, 117, 148]","[268, 297, 86, 107]","[1231, 124, 11, 14]",,0.0,0.0,0.0,,0.06,0.0,0.06,,0.02,0.75,0.05,,0.66,0.24,0.22,,0.14,0.0,0.58,,0.0,0.0,0.01,
0.17,0.0,0.09,,"[893, 249, 119, 152]","[267, 295, 86, 110]","[1231, 124, 11, 14]",,0.0,0.0,0.0,,0.05,0.0,0.06,,0.01,0.78,0.05,,0.63,0.22,0.22,,0.14,0.0,0.57,,0.0,0.0,0.01,
0.12,0.0,0.09,,"[893, 250, 119, 150]","[267, 295, 86, 110]","[1231, 124, 11, 14]",,0.0,0.0,0.0,,0.04,0.0,0.06,,0.01,0.78,0.05,,0.69,0.22,0.22,,0.13,0.0,0.57,,0.0,0.0,0.01,
0.13,0.0,0.09,,"[893, 252, 117, 147]","[267, 295, 87, 110]","[1231, 124, 11, 14]",,0.0,0.0,0.0,,0.03,0.0,0.06,,0.0,0.77,0.05,,0.71,0.22,0.22,,0.12,0.0,0.57,,0.0,0.0,0.01,
0.12,0.0,0.07,,"[894, 252, 117, 147]","[267, 295, 87, 109]","[1231, 124, 10, 14]",,0.0,0.0,0.01,,0.03,0.0,0.05,,0.01,0.87,0.03,,0.76,0.13,0.17,,0.09,0.0,0.67,,0.0,0.0,0.01,
0.09,0.0,0.07,,"[894, 251, 117, 147]","[267, 296, 87, 109]","[1231, 124, 10, 14]",,0.0,0.0,0.01,,0.03,0.0,0.05,,0.01,0.8,0.03,,0.79,0.2,0.17,,0.08,0.0,0.67,,0.0,0.0,0.01,
0.09,0.0,0.07,,"[894, 251, 117, 147]","[267, 296, 87, 109]","[1231, 124, 10, 14]",,0.0,0.0,0.01,,0.03,0.0,0.05,,0.01,0.8,0.03,,0.79,0.2,0.17,,0.08,0.0,0.67,,0.0,0.0,0.01,
0.12,0.0,0.07,,"[894, 251, 117, 148]","[269, 299, 85, 104]","[1231, 124, 10, 14]",,0.0,0.0,0.01,,0.04,0.0,0.05,,0.01,0.87,0.03,,0.74,0.13,0.17,,0.09,0.0,0.67,,0.0,0.0,0.01,
0.09,0.0,0.07,,"[894, 251, 117, 147]","[268, 297, 87, 108]","[1231, 124, 10, 14]",,0.0,0.0,0.01,,0.02,0.0,0.05,,0.01,0.74,0.03,,0.8,0.26,0.17,,0.08,0.0,0.67,,0.0,0.0,0.01,
0.05,0.0,0.07,,"[899, 248, 116, 146]","[268, 295, 86, 109]","[1231, 124, 10, 14]",,0.0,0.0,0.01,,0.03,0.0,0.05,,0.01,0.87,0.03,,0.84,0.13,0.17,,0.08,0.0,0.67,,0.0,0.0,0.01,
0.03,0.0,0.07,,"[897, 244, 118, 149]","[269, 297, 86, 108]","[1231, 124, 10, 14]",,0.0,0.0,0.01,,0.02,0.0,0.05,,0.01,0.85,0.03,,0.9,0.15,0.17,,0.05,0.0,0.67,,0.0,0.0,0.01,
0.05,0.0,0.07,,"[900, 247, 118, 147]","[269, 297, 86, 108]","[1231, 124, 10, 14]",,0.0,0.0,0.01,,0.04,0.0,0.05,,0.01,0.86,0.03,,0.8,0.14,0.17,,0.1,0.0,0.67,,0.0,0.0,0.01,
0.07,0.0,0.07,,"[900, 245, 119, 149]","[269, 297, 86, 108]","[1231, 124, 10, 14]",,0.0,0.0,0.01,,0.03,0.0,0.05,,0.01,0.83,0.03,,0.79,0.17,0.17,,0.1,0.0,0.67,,0.0,0.0,0.01,
0.08,0.0,0.07,,"[901, 246, 118, 148]","[269, 297, 86, 108]","[1231, 124, 10, 14]",,0.0,0.0,0.01,,0.04,0.0,0.05,,0.01,0.82,0.03,,0.77,0.18,0.17,,0.11,0.0,0.67,,0.0,0.0,0.01,
0.08,0.0,0.07,,"[901, 246, 118, 148]","[269, 297, 86, 108]","[1231, 124, 10, 14]",,0.0,0.0,0.01,,0.04,0.0,0.05,,0.01,0.82,0.03,,0.77,0.18,0.17,,0.11,0.0,0.67,,0.0,0.0,0.01,
0.06,0.0,0.07,,"[899, 245, 118, 147]","[269, 298, 85, 106]","[1231, 124, 10, 14]",,0.0,0.0,0.01,,0.03,0.0,0.05,,0.01,0.87,0.03,,0.82,0.13,0.17,,0.08,0.0,0.67,,0.0,0.0,0.01,
0.09,0.0,0.07,,"[899, 245, 117, 146]","[269, 298, 85, 106]","[1231, 124, 10, 14]",,0.0,0.0,0.01,,0.05,0.0,0.05,,0.01,0.94,0.03,,0.76,0.06,0.17,,0.08,0.0,0.67,,0.0,0.0,0.01,
